newDate,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
2020-07-14,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
2020-07-13,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
2020-07-12,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
2020-07-11,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
2020-07-10,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
2020-07-09,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
2020-07-08,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
2020-07-07,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
2020-07-06,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
2020-07-05,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
2020-07-04,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
2020-07-03,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
2020-07-02,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
2020-07-01,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
2020-06-30,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
2020-06-29,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
2020-06-28,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
2020-06-27,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
2020-06-26,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
2020-06-25,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
2020-06-24,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
2020-06-23,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
2020-06-22,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
2020-06-21,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
2020-06-20,346,2,Afghanistan,AF,AFG,38041757.0,Asia,23.41900244
2020-06-19,658,42,Afghanistan,AF,AFG,38041757.0,Asia,24.91472726
2020-06-18,564,13,Afghanistan,AF,AFG,38041757.0,Asia,25.25382831
2020-06-17,783,13,Afghanistan,AF,AFG,38041757.0,Asia,25.76379424
2020-06-16,761,7,Afghanistan,AF,AFG,38041757.0,Asia,25.70070567
2020-06-15,664,20,Afghanistan,AF,AFG,38041757.0,Asia,25.13290856
2020-06-14,556,5,Afghanistan,AF,AFG,38041757.0,Asia,25.174967600000002
2020-06-13,656,20,Afghanistan,AF,AFG,38041757.0,Asia,25.98986161
2020-06-12,747,21,Afghanistan,AF,AFG,38041757.0,Asia,25.90311483
2020-06-11,684,21,Afghanistan,AF,AFG,38041757.0,Asia,25.46412354
2020-06-10,542,15,Afghanistan,AF,AFG,38041757.0,Asia,25.30903081
2020-06-09,575,12,Afghanistan,AF,AFG,38041757.0,Asia,25.61395889
2020-06-08,791,30,Afghanistan,AF,AFG,38041757.0,Asia,25.65601794
2020-06-07,582,18,Afghanistan,AF,AFG,38041757.0,Asia,25.11187903
2020-06-06,915,9,Afghanistan,AF,AFG,38041757.0,Asia,25.63761711
2020-06-05,787,6,Afghanistan,AF,AFG,38041757.0,Asia,24.65185822
2020-06-04,758,24,Afghanistan,AF,AFG,38041757.0,Asia,23.97891349
2020-06-03,759,5,Afghanistan,AF,AFG,38041757.0,Asia,23.27968185
2020-06-02,545,8,Afghanistan,AF,AFG,38041757.0,Asia,22.81177497
2020-06-01,680,8,Afghanistan,AF,AFG,38041757.0,Asia,22.45164439
2020-05-31,866,3,Afghanistan,AF,AFG,38041757.0,Asia,21.35285181
2020-05-30,623,11,Afghanistan,AF,AFG,38041757.0,Asia,19.07640596
2020-05-29,580,8,Afghanistan,AF,AFG,38041757.0,Asia,20.23302972
2020-05-28,625,7,Afghanistan,AF,AFG,38041757.0,Asia,19.00543132
2020-05-27,658,1,Afghanistan,AF,AFG,38041757.0,Asia,18.04333065
2020-05-26,591,1,Afghanistan,AF,AFG,38041757.0,Asia,17.04968569
2020-05-25,584,2,Afghanistan,AF,AFG,38041757.0,Asia,16.24530644
2020-05-24,782,11,Afghanistan,AF,AFG,38041757.0,Asia,15.68013801
2020-05-23,540,12,Afghanistan,AF,AFG,38041757.0,Asia,14.29481819
2020-05-22,531,6,Afghanistan,AF,AFG,38041757.0,Asia,13.44049382
2020-05-21,492,9,Afghanistan,AF,AFG,38041757.0,Asia,12.49416529
2020-05-20,581,5,Afghanistan,AF,AFG,38041757.0,Asia,11.64246962
2020-05-19,408,4,Afghanistan,AF,AFG,38041757.0,Asia,10.98266833
2020-05-18,262,1,Afghanistan,AF,AFG,38041757.0,Asia,10.40961384
2020-05-17,0,0,Afghanistan,AF,AFG,38041757.0,Asia,10.3386392
2020-05-16,1063,32,Afghanistan,AF,AFG,38041757.0,Asia,10.6908837
2020-05-15,113,6,Afghanistan,AF,AFG,38041757.0,Asia,8.32769107
2020-05-14,259,3,Afghanistan,AF,AFG,38041757.0,Asia,8.61421832
2020-05-13,280,5,Afghanistan,AF,AFG,38041757.0,Asia,8.25408774
2020-05-12,285,2,Afghanistan,AF,AFG,38041757.0,Asia,7.84401204
2020-05-11,369,5,Afghanistan,AF,AFG,38041757.0,Asia,7.54697003
2020-05-10,255,6,Afghanistan,AF,AFG,38041757.0,Asia,6.75573423
