,Date,Open,High,Low ,Close,Volume ,Market Cap
0,2020-07-14,239.98,242.0,237.8,240.21,7357458555,26846147251
1,2020-07-13,242.18,244.31,238.23,239.6,7787751468,26775071858
2,2020-07-12,239.46,243.31,237.77,242.13,6596394718,27054158346
3,2020-07-11,241.04,241.53,238.33,239.46,5643067316,26752161985
4,2020-07-10,242.87,242.88,236.73,240.98,7281370522,26919422187
5,2020-07-09,246.75,247.29,239.9,243.02,8429099199,27143016879
6,2020-07-08,239.16,248.31,238.4,246.67,9892586411,27547785703
7,2020-07-07,240.97,242.68,234.22,239.08,6441497597,26696376073
8,2020-07-06,227.69,242.13,227.03,241.51,8782917553,26964937043
9,2020-07-05,228.98,229.86,224.54,227.66,5292172429,25415950649
10,2020-07-04,225.29,230.05,225.13,229.07,5228310135,25570190315
11,2020-07-03,229.32,229.63,224.91,225.39,5109032700,25155571600
12,2020-07-02,231.29,232.4,225.46,229.39,6212210566,25599453477
13,2020-07-01,226.13,232.76,224.84,231.11,6463737443,25788404350
14,2020-06-30,227.97,229.48,224.82,226.31,6094093001,25249913730
15,2020-06-29,225.36,229.9,222.25,228.19,6726164653,25456513994
16,2020-06-28,222.91,228.6,219.47,225.35,6205925718,25135786986
17,2020-06-27,229.63,232.49,220.56,222.96,6918380955,24866429445
18,2020-06-26,232.88,233.9,229.26,229.67,7187490226,25611500297
19,2020-06-25,235.7,236.05,230.3,232.94,7010426122,25973707946
20,2020-06-24,244.19,248.51,232.81,235.77,8815030025,26285822239
21,2020-06-23,242.54,244.86,239.76,244.14,6624530348,27215606543
22,2020-06-22,229.0,243.78,228.93,242.53,9079586552,27032930743
23,2020-06-21,229.22,232.36,228.49,228.99,5600408178,25520273837
24,2020-06-20,226.98,231.45,226.64,229.27,6252830566,25548837121
25,2020-06-19,231.95,232.15,226.8,227.14,6946372590,25307718819
26,2020-06-18,232.9,234.57,228.95,232.1,6713800872,25857495155
27,2020-06-17,234.49,235.95,229.34,233.03,7701391592,25957610764
28,2020-06-16,229.76,236.39,228.43,234.42,7965648016,26109047392
29,2020-06-15,234.06,234.24,221.24,229.93,10536099884,25606145743
30,2020-06-14,238.97,239.1,232.96,234.11,7439385176,26069111857
31,2020-06-13,237.54,239.19,235.89,238.91,7141624980,26599679550
32,2020-06-12,231.63,239.35,229.65,237.49,8868955009,26438827420
33,2020-06-11,247.55,249.89,229.94,231.7,12356528860,25791024831
